ACACH,Acanthisittidae,Acanthisitta_chloris
HALAL,Accipitridae,Haliaeetus_albicilla
HALLE,Aciipitridae,Haliaeetus_leucocephalus
ANAPL,Anatidaei,Anas_platyrhynchos
CHAPE,Apodidaei,Chaetura_pelagica
EGRGA,Ardeidaei,Egretta_garzetta
BUCRH,Bucerotidae,Buceros_rhinoceros
CAPCA,Caprimulgidae,Antrostomus_carolinensis
CARCR,Cariamidae,Cariama_cristata
CATAU,Cathartidae,Cathartes_aura
CHAVO,Charadriidae,Charadrius_vociferus
COLST,Coliidae,Colius_striatus
COLLI,Columbidae,Columba_livia
CORBR,Corvidae,Corvus_brachyrhynchos
CUCCA,Cuculidae,Cuculus_canorus
EURHE,Eurypygidae,Eurypyga_helias
FALPE,Falconidae,Falco_peregrinus
GAVST,Gaviidae,Gavia_stellata
BALRE,Gruidae,Balearica_regulorum
LEPDI,Leptosomidae,Leptosomus_discolor
MERNU,Meropidae,Merops_nubicus
MESUN,Mesitornithidae,Mesitornis_unicolor
TAUER,Musophagidae,Tauraco_erythrolophus
OPHHO,Opisthocomidae,Opisthocomus_hoazin
CHLUN,Otididae,Chlamydotis_macqueenii
TAEGU,Passeridae,Taeniopygia_guttata
PELCR,Pelecanidae,Pelecanus_crispus
PHALE,Phaethontidae,Phaethon_lepturus
PHACA,Phalacrocoracidae,Phalacrocorax_carbo
GALGA,Phasianidae,Gallus_gallus
MELGA,Phasianidae,Meleagris_gallopavo
PHORU,Phoenicopteridae,Phoenicopterus_ruber
PICPU,Picidae,Picoides_pubescens
MANVI,Pipridae,Manacus_vitellinus
PODCR,Podicipedidae,Podiceps_cristatus
FULGL,Procellariidae,Fulmarus_glacialis
MELUN,Psittacidae,Melopsittacus_undulatus
NESNO,Psittacidae,Nestor_notabilis
PTEGU,Pteroclidae,Pterocles_gutturalis
APTFO,Spheniscidae,Aptenodytes_forsteri
PYGAD,Spheniscidae,Pygoscelis_adeliae
STRCA,Struthionidae,Struthio_camelus
GEOFO,Thraupidae,Geospiza_fortis
NIPNI,Threskiornithidae,Nipponia_nippon
TINMA,Tinamidae,Tinamus_guttatus
CALAN,Trochilidae,Calypte_anna
APAVI,Trogonidae,Apaloderma_vittatum
TYTAL,Tytonidae,Tyto_alba
